accountage,monthlycharges,totalcharges,subscriptiontype,paymentmethod,paperlessbilling,contenttype,multideviceaccess,deviceregistered,viewinghoursperweek,averageviewingduration,contentdownloadspermonth,genrepreference,userrating,supportticketspermonth,gender,watchlistsize,parentalcontrol,subtitlesenabled,churn
32,7.761635186,248.372326,Standard,Bank transfer,Yes,Movies,No,TV,25.25510052,110.4759494,48,Action,1.281774734,8,Male,10,No,No,0
91,19.67834842,1790.729706,Premium,Credit card,No,Movies,Yes,TV,32.33206943,18.03265454,36,Fantasy,3.011445348,8,Female,15,No,No,0
13,12.36793441,160.7831473,Basic,Electronic check,Yes,TV Shows,No,Mobile,25.32381376,62.43881995,31,Action,3.263691102,8,Male,19,Yes,No,1
53,17.93740352,950.6823865,Premium,Credit card,Yes,Both,No,Mobile,8.788720887,145.9647116,19,Fantasy,1.688407145,7,Female,19,Yes,No,1
112,18.67180055,2091.241662,Premium,Mailed check,No,Movies,No,Tablet,27.87040786,94.4585471,48,Fantasy,1.058358723,8,Male,22,No,Yes,0
77,6.587624825,507.2471115,Basic,Electronic check,Yes,TV Shows,No,TV,31.99194917,42.43410477,6,Comedy,4.611107332,0,Male,20,No,Yes,0
19,12.69506128,241.2061643,Basic,Electronic check,No,TV Shows,Yes,TV,12.95548705,36.98420345,9,Fantasy,4.789016526,3,Female,20,Yes,No,1
1,9.621095262,9.621095262,Premium,Credit card,Yes,Movies,Yes,TV,25.47757479,43.95154013,36,Action,3.574893967,3,Female,4,No,Yes,0
45,9.384935967,422.3221185,Standard,Electronic check,No,Both,No,Tablet,27.61773433,60.68016746,34,Comedy,1.485025819,8,Male,0,Yes,No,0
24,16.82066844,403.6960427,Premium,Bank transfer,No,TV Shows,No,Computer,24.97711114,118.2688711,32,Comedy,2.586257953,7,Female,21,Yes,No,0
18,6.295696509,113.3225372,Standard,Electronic check,No,Movies,Yes,Tablet,10.21629937,143.6822269,47,Sci-Fi,4.093763972,1,Male,21,Yes,Yes,0
119,14.03328667,1669.961113,Basic,Credit card,No,Movies,No,Computer,38.39269273,86.37405749,49,Comedy,2.652754243,2,Female,20,Yes,No,0
5,5.020821918,25.10410959,Standard,Mailed check,No,Both,Yes,TV,37.29597279,163.795049,11,Fantasy,3.439175674,0,Female,4,No,No,0
82,11.38956549,933.9443701,Premium,Bank transfer,Yes,Both,Yes,Computer,30.90946034,102.3079267,31,Drama,3.798106971,4,Female,11,No,No,0
38,18.88344839,717.5710387,Standard,Electronic check,No,TV Shows,No,TV,12.83907012,148.3200258,22,Comedy,1.030876435,8,Female,1,No,Yes,0
26,15.19649624,395.1089024,Standard,Electronic check,No,Movies,No,Computer,23.17100272,102.2601196,38,Drama,2.646895011,6,Female,13,No,Yes,0
55,15.77961106,867.8786081,Basic,Electronic check,Yes,TV Shows,No,Computer,13.47676439,115.8385976,18,Drama,1.644486958,6,Male,3,No,No,0
108,5.950314162,642.6339295,Basic,Bank transfer,No,TV Shows,No,Computer,4.34178656,165.4890938,33,Action,4.380171522,0,Female,10,Yes,No,0
110,9.584485677,1054.293424,Standard,Bank transfer,No,Both,No,TV,27.05896888,159.319282,41,Drama,2.395895346,9,Male,0,No,No,0
95,16.39707665,1557.722282,Premium,Credit card,No,Movies,No,Computer,31.64676435,74.36036722,32,Sci-Fi,4.388383996,1,Male,15,No,No,0
21,6.939085462,145.7207947,Basic,Credit card,No,Both,Yes,Computer,38.24490037,167.0434149,42,Comedy,2.528741819,8,Female,20,Yes,No,0
38,17.08038514,649.0546355,Basic,Mailed check,No,TV Shows,No,Computer,8.900271487,159.1773398,24,Drama,4.826935933,7,Male,4,Yes,No,0
117,7.100112024,830.7131068,Premium,Mailed check,Yes,Movies,Yes,Mobile,8.758714569,131.0986165,43,Drama,1.791575256,7,Female,23,Yes,No,0
97,14.4686361,1403.457702,Basic,Bank transfer,No,Movies,No,Computer,26.2583255,91.71153922,21,Comedy,1.52241502,4,Male,0,No,Yes,0
86,15.23156497,1309.914587,Basic,Bank transfer,No,TV Shows,Yes,TV,15.84804867,40.85669932,23,Fantasy,4.132619759,8,Male,1,No,No,0
45,8.265067598,371.9280419,Standard,Electronic check,No,TV Shows,No,Mobile,5.455329854,89.92136282,31,Sci-Fi,2.722801971,9,Male,1,Yes,Yes,0
25,12.0882421,302.2060525,Basic,Electronic check,No,Movies,No,Computer,24.80795284,52.10935741,21,Fantasy,3.940277991,8,Female,0,Yes,No,1
34,15.73124099,534.8621935,Standard,Electronic check,No,TV Shows,No,Tablet,20.86750389,136.4696815,41,Fantasy,2.066026176,0,Female,9,Yes,Yes,0
41,8.404566017,344.5872067,Premium,Bank transfer,Yes,Both,Yes,TV,9.986536712,86.3234331,26,Action,2.368599836,3,Male,11,Yes,Yes,0
31,14.91772562,462.4494942,Basic,Mailed check,No,Movies,No,Computer,28.3909222,80.87499271,45,Drama,3.365878231,3,Female,9,No,Yes,1
114,5.888223078,671.2574309,Premium,Credit card,Yes,TV Shows,Yes,Mobile,20.61488784,69.24251579,44,Fantasy,1.980125442,5,Female,5,No,No,0
60,18.41826831,1105.096099,Premium,Mailed check,Yes,TV Shows,No,TV,30.03571246,116.390906,8,Drama,1.078194521,1,Female,6,No,No,0
30,6.590848391,197.7254517,Standard,Electronic check,Yes,Both,No,Computer,32.62307207,177.746353,34,Sci-Fi,2.857992136,2,Female,16,Yes,Yes,0
36,18.59526596,669.4295747,Standard,Credit card,Yes,Both,Yes,Tablet,19.13289439,26.16501552,46,Fantasy,4.649731398,4,Female,23,No,No,1
25,13.87345958,346.8364894,Basic,Bank transfer,No,TV Shows,No,Tablet,34.26841001,69.80910478,8,Sci-Fi,1.210148186,3,Female,8,Yes,Yes,0
15,5.066800096,76.00200144,Basic,Mailed check,Yes,Both,No,Computer,1.466522874,166.8814987,47,Comedy,3.110818053,8,Female,13,No,No,0
97,8.22559475,797.8826908,Basic,Credit card,Yes,Movies,Yes,Mobile,2.745319988,97.51086133,31,Fantasy,3.482335518,3,Female,9,No,Yes,0
1,7.671305432,7.671305432,Basic,Electronic check,Yes,TV Shows,Yes,TV,1.198702383,39.19396801,29,Fantasy,2.629133948,8,Male,17,No,Yes,0
8,11.25631824,90.05054588,Basic,Bank transfer,No,TV Shows,No,Mobile,28.38580657,53.83502673,32,Action,4.302811382,8,Male,22,No,No,0
67,13.092011,877.1647367,Basic,Credit card,No,Both,Yes,Tablet,37.09999234,176.8108154,42,Sci-Fi,1.172875192,1,Male,12,Yes,Yes,0
15,14.67707842,220.1561763,Premium,Mailed check,Yes,TV Shows,Yes,Mobile,25.21037827,56.6305815,46,Drama,3.807544352,6,Male,1,Yes,No,0
13,15.09711802,196.2625343,Premium,Mailed check,Yes,TV Shows,Yes,Computer,31.94261175,8.598058688,15,Comedy,2.15652483,3,Male,0,Yes,No,1
22,10.53207767,231.7057086,Basic,Bank transfer,Yes,Movies,Yes,Tablet,36.92096102,62.72806028,29,Comedy,4.610917164,3,Female,17,No,No,0
100,17.68848606,1768.848606,Premium,Credit card,Yes,Both,No,Mobile,5.827898852,42.27047758,37,Sci-Fi,2.245344587,6,Female,22,Yes,No,0
71,11.05279032,784.7481124,Basic,Credit card,Yes,Both,Yes,Mobile,32.77651831,44.11435031,1,Comedy,4.731272152,3,Male,22,No,No,0
6,19.6781637,118.0689822,Premium,Electronic check,No,Movies,Yes,TV,20.66307848,7.630695934,2,Action,4.074073185,9,Female,4,Yes,No,1
69,19.94870666,1376.460759,Basic,Mailed check,Yes,TV Shows,Yes,Computer,21.85247444,121.7412111,21,Action,4.733311445,8,Female,3,No,No,0
67,5.185162133,347.4058629,Basic,Mailed check,Yes,Both,No,Mobile,9.690197796,58.00130552,16,Comedy,2.82929452,8,Female,12,Yes,Yes,0
41,16.67425755,683.6445594,Premium,Mailed check,No,Movies,Yes,Mobile,34.86002939,73.81158182,32,Sci-Fi,1.505566876,0,Female,18,Yes,No,0
78,5.4020906,421.3630668,Basic,Credit card,Yes,Movies,No,Computer,25.00234636,72.38272283,2,Drama,1.959433479,2,Female,2,Yes,No,0
100,6.760487623,676.0487623,Standard,Credit card,No,Movies,Yes,Computer,19.86428942,128.6780946,1,Fantasy,2.816816467,1,Male,6,Yes,Yes,0
70,8.400373918,588.0261742,Standard,Credit card,No,Movies,Yes,Computer,34.87381816,59.96207189,26,Comedy,2.712761952,5,Male,8,Yes,Yes,0
61,12.74345003,777.350452,Premium,Credit card,Yes,Movies,Yes,Mobile,2.613801304,161.1968954,0,Fantasy,4.003231434,4,Female,1,No,No,0
93,11.27555282,1048.626412,Standard,Credit card,No,TV Shows,No,TV,37.72630422,178.7779043,20,Action,2.694066227,0,Female,14,Yes,No,0
75,5.726193061,429.4644795,Premium,Bank transfer,No,TV Shows,No,Mobile,10.12318566,19.27488591,37,Fantasy,2.418681197,7,Female,11,No,Yes,0
88,12.42975277,1093.818243,Premium,Bank transfer,No,Movies,Yes,Mobile,28.25645654,27.26644001,43,Action,4.689074194,3,Male,1,No,Yes,0
59,15.27099907,900.988945,Basic,Mailed check,Yes,TV Shows,No,Tablet,12.73925063,5.411734095,0,Sci-Fi,1.297333862,3,Male,4,No,No,0
83,9.176852635,761.6787687,Basic,Credit card,Yes,TV Shows,Yes,Mobile,27.58065767,55.21747349,7,Action,3.729709793,4,Female,21,Yes,Yes,0
105,17.10117008,1795.622858,Premium,Electronic check,Yes,Movies,No,Computer,23.06942828,92.2631351,6,Fantasy,4.979420766,5,Female,7,No,No,0
34,17.68998961,601.4596466,Premium,Credit card,No,Movies,No,Mobile,1.770825771,111.2565741,18,Comedy,3.868044248,8,Female,13,No,No,1
62,17.8053007,1103.928643,Premium,Mailed check,Yes,TV Shows,No,Mobile,39.16350304,78.80467394,28,Drama,1.906315297,7,Male,6,No,No,0
106,8.613662026,913.0481748,Premium,Bank transfer,Yes,TV Shows,No,TV,22.97793962,80.16737287,47,Drama,3.372307214,1,Female,14,No,Yes,0
13,19.20168432,249.6218961,Basic,Bank transfer,Yes,Both,Yes,Mobile,37.52383984,107.7548823,2,Sci-Fi,2.282437698,6,Male,19,Yes,No,1
100,7.773526738,777.3526738,Premium,Electronic check,Yes,Movies,Yes,Tablet,30.18017286,96.66256241,24,Sci-Fi,1.50588193,9,Male,1,No,Yes,0
37,12.51135931,462.9202944,Basic,Mailed check,Yes,TV Shows,No,Computer,21.36251647,129.0625438,24,Fantasy,3.611138932,4,Male,0,Yes,No,0
86,13.0051454,1118.442504,Standard,Credit card,No,Both,Yes,TV,15.9098822,29.70101671,12,Sci-Fi,4.877005029,6,Female,11,No,No,0
60,7.613667533,456.820052,Standard,Mailed check,Yes,TV Shows,No,Tablet,3.123913931,175.1470066,7,Fantasy,1.927900259,6,Male,10,Yes,Yes,0
88,8.60838438,757.5378254,Standard,Bank transfer,No,Movies,Yes,TV,9.897946248,6.172953006,29,Fantasy,4.860001352,3,Female,11,No,No,0
62,5.279950927,327.3569575,Basic,Mailed check,No,TV Shows,No,Mobile,2.701460221,67.90950161,24,Fantasy,1.147621377,1,Male,0,No,No,0
47,16.44568678,772.9472785,Premium,Electronic check,Yes,Both,Yes,Mobile,36.49622368,58.37554967,40,Action,1.039638327,4,Male,24,No,Yes,0
45,8.989277888,404.5175049,Basic,Mailed check,No,Both,Yes,Computer,12.4876452,111.1525199,3,Comedy,2.070619885,1,Male,18,No,No,0
109,18.30190875,1994.908054,Premium,Electronic check,Yes,TV Shows,Yes,Tablet,30.12434799,106.6828913,4,Sci-Fi,4.877260333,0,Female,5,No,Yes,0
113,15.69537319,1773.577171,Basic,Mailed check,No,Movies,No,Computer,11.5865158,159.2748809,11,Comedy,1.584720002,8,Female,17,No,Yes,0
50,13.19308011,659.6540056,Premium,Electronic check,Yes,Both,No,Tablet,19.60274418,179.4731897,40,Action,3.290225353,3,Male,6,No,Yes,0
90,13.44989694,1210.490724,Premium,Mailed check,Yes,TV Shows,No,Mobile,32.91835535,76.13777882,26,Comedy,1.879197054,6,Male,5,Yes,No,0
88,7.79223508,685.716687,Premium,Bank transfer,Yes,Both,No,Mobile,36.14576956,71.34723911,4,Action,3.024718538,7,Female,5,Yes,No,0
65,8.752993679,568.9445891,Basic,Bank transfer,Yes,Movies,Yes,TV,32.56492053,26.39555637,17,Comedy,1.953783875,9,Male,5,No,No,0
92,5.778680713,531.6386256,Basic,Electronic check,No,TV Shows,No,TV,19.05859835,52.44476378,37,Comedy,1.702449215,2,Female,5,Yes,Yes,1
69,5.345888799,368.8663271,Premium,Mailed check,Yes,Movies,Yes,Computer,20.07166113,37.63647409,2,Sci-Fi,1.541396912,3,Male,21,Yes,No,1
118,15.41469598,1818.934126,Basic,Credit card,Yes,TV Shows,Yes,Mobile,34.82791985,65.44006457,19,Comedy,1.728885032,7,Male,4,Yes,No,1
112,9.328071287,1044.743984,Premium,Bank transfer,Yes,TV Shows,Yes,TV,12.38477203,16.58369488,26,Sci-Fi,1.062318321,8,Male,9,Yes,Yes,0
45,11.2342036,505.5391619,Basic,Mailed check,Yes,TV Shows,Yes,TV,26.60261693,76.85958234,26,Drama,2.593977803,5,Male,7,No,Yes,0
75,5.794368557,434.5776418,Premium,Electronic check,Yes,Movies,No,Mobile,20.83016282,125.4051973,46,Drama,3.758570933,9,Male,23,Yes,No,0
31,13.99092233,433.7185922,Standard,Bank transfer,Yes,Movies,No,Tablet,6.322517199,24.44813751,31,Comedy,2.509344608,3,Female,1,Yes,Yes,0
75,5.861095578,439.5821683,Basic,Credit card,No,Movies,No,Mobile,27.4489567,40.8101728,36,Action,3.936105637,5,Male,12,Yes,Yes,0
11,12.93957955,142.3353751,Basic,Electronic check,Yes,Both,Yes,TV,2.41709341,134.8076128,45,Drama,1.614749558,2,Male,4,Yes,No,0
90,12.3680022,1113.120198,Premium,Bank transfer,Yes,TV Shows,Yes,Tablet,23.56823454,159.8795588,13,Drama,1.695388879,7,Male,20,Yes,No,0
7,10.38898825,72.72291773,Premium,Mailed check,No,TV Shows,Yes,TV,32.64347408,119.3976214,30,Fantasy,2.282389541,1,Male,13,No,Yes,0
68,5.379105587,365.7791799,Standard,Credit card,No,Both,No,Mobile,22.78242783,173.2969035,35,Sci-Fi,4.58890183,6,Male,3,Yes,No,0
59,9.080423238,535.744971,Basic,Electronic check,No,Movies,No,Mobile,16.92293374,50.48319986,9,Sci-Fi,4.024460694,2,Male,21,No,Yes,0
108,9.214490957,995.1650234,Premium,Credit card,No,TV Shows,No,TV,10.91993701,104.9158051,10,Comedy,3.334056732,5,Female,4,No,No,0
1,8.657388904,8.657388904,Standard,Credit card,No,Movies,No,Mobile,23.33487996,166.0242873,41,Comedy,3.140623389,5,Female,15,Yes,Yes,1
42,14.4012718,604.8534157,Basic,Mailed check,Yes,Movies,Yes,TV,33.23275043,56.0988619,8,Sci-Fi,3.41299789,3,Male,20,No,No,0
36,11.66098988,419.7956358,Premium,Bank transfer,No,Both,Yes,Tablet,36.1354735,69.27227659,11,Comedy,4.964283606,9,Male,19,Yes,Yes,0
92,13.2795863,1221.72194,Basic,Credit card,No,TV Shows,No,Computer,22.00892037,57.33195383,1,Action,2.004303278,7,Female,13,No,No,0
112,5.13889643,575.5564002,Standard,Bank transfer,Yes,Both,No,Tablet,28.6161676,138.6192825,32,Action,1.373261589,9,Female,11,Yes,No,0
66,17.10424993,1128.880495,Standard,Electronic check,Yes,Movies,No,Computer,14.53941923,131.9345658,15,Sci-Fi,1.997549151,1,Female,16,Yes,Yes,0
17,15.46524302,262.9091314,Standard,Mailed check,No,TV Shows,Yes,Tablet,37.31893389,55.39782205,36,Sci-Fi,3.430256307,6,Female,17,No,Yes,1
28,8.830190942,247.2453464,Standard,Mailed check,No,Movies,Yes,Mobile,7.827536089,76.87584749,1,Sci-Fi,4.040204365,7,Female,0,No,Yes,1
42,6.682101394,280.6482586,Standard,Electronic check,No,Movies,No,Tablet,2.903311236,152.6759859,13,Sci-Fi,4.239702,3,Male,11,Yes,No,0
9,11.08587413,99.77286717,Basic,Credit card,No,TV Shows,No,Mobile,2.501449279,5.506379841,9,Drama,2.2248567,0,Female,16,Yes,Yes,1
48,8.01000929,384.4804459,Premium,Bank transfer,Yes,Both,Yes,Mobile,7.236719528,50.25254427,3,Comedy,3.449960643,8,Male,13,Yes,No,1
6,19.68419311,118.1051586,Premium,Bank transfer,Yes,Movies,No,Computer,17.92402167,138.4019228,23,Comedy,4.336487679,3,Female,15,No,No,0
24,12.27926532,294.7023677,Premium,Electronic check,Yes,Movies,No,TV,8.006557504,147.1576933,34,Comedy,4.465950681,4,Male,24,No,Yes,0
86,7.080466361,608.920107,Standard,Mailed check,Yes,Both,Yes,Computer,36.32228813,11.96123972,9,Comedy,3.305857646,1,Female,7,No,No,0
95,14.07783639,1337.394457,Standard,Credit card,No,Both,Yes,Computer,31.48039541,94.24828695,41,Sci-Fi,3.676862685,4,Female,17,Yes,Yes,0
14,10.05817827,140.8144958,Standard,Electronic check,Yes,Both,Yes,Tablet,5.515321347,127.0000349,39,Fantasy,2.534896716,4,Male,14,No,Yes,0
44,14.56399997,640.8159985,Basic,Mailed check,Yes,TV Shows,Yes,Mobile,34.47067305,28.89270483,47,Comedy,3.718361923,6,Female,11,No,Yes,0
85,12.97139407,1102.568496,Premium,Mailed check,Yes,Movies,Yes,TV,9.356278393,10.97230094,4,Comedy,2.395805207,7,Female,8,Yes,No,0
1,18.11172231,18.11172231,Basic,Electronic check,Yes,TV Shows,No,TV,35.37888534,164.3987971,8,Action,3.215140119,9,Female,18,No,No,0
63,11.7133248,737.9394622,Basic,Bank transfer,Yes,Both,Yes,Tablet,2.84316097,72.63971404,28,Sci-Fi,3.50238557,3,Female,5,Yes,Yes,0
28,16.63547775,465.793377,Basic,Electronic check,Yes,Both,Yes,TV,33.05269799,98.791849,24,Fantasy,4.203602178,2,Male,20,Yes,Yes,0
11,14.79279233,162.7207156,Basic,Bank transfer,No,TV Shows,No,TV,36.24612554,19.33858636,16,Comedy,3.886376034,6,Female,12,No,Yes,0
90,14.06534198,1265.880778,Premium,Bank transfer,Yes,TV Shows,Yes,TV,31.67271752,156.2069878,7,Sci-Fi,1.356638607,0,Female,24,Yes,Yes,0
113,15.47397396,1748.559057,Premium,Mailed check,No,TV Shows,Yes,TV,33.20378397,66.23144784,31,Comedy,4.305579937,2,Female,21,Yes,Yes,0
60,10.35619897,621.3719385,Standard,Electronic check,No,Movies,No,Mobile,37.29938597,50.18264201,40,Comedy,4.087369405,3,Male,2,No,Yes,0
52,15.0577862,783.0048824,Standard,Bank transfer,No,Both,Yes,Computer,29.00744241,123.3185662,9,Drama,2.404550746,5,Male,15,No,No,0
73,14.72484087,1074.913383,Basic,Credit card,Yes,Movies,Yes,TV,32.05206776,131.6301333,14,Comedy,3.69132401,4,Female,6,Yes,No,0
111,19.30739802,2143.12118,Standard,Bank transfer,No,Both,Yes,Computer,14.91547093,19.72405016,28,Sci-Fi,3.136574128,3,Female,9,No,No,1
42,19.5918195,822.8564189,Standard,Electronic check,No,TV Shows,No,Mobile,31.11588326,172.5351763,16,Comedy,2.104504622,8,Female,11,Yes,No,0
12,19.60352361,235.2422833,Premium,Electronic check,No,Movies,No,Mobile,29.96199644,74.45545608,20,Action,1.526260176,5,Male,8,Yes,Yes,0
72,18.6370107,1341.86477,Standard,Bank transfer,No,Both,No,Mobile,37.42121117,85.56038165,6,Drama,1.072760937,6,Female,5,No,Yes,0
105,7.275386662,763.9155995,Premium,Bank transfer,Yes,Movies,Yes,Mobile,32.97154401,35.57633642,0,Drama,2.004767389,1,Female,7,No,No,0
4,5.553821449,22.21528579,Standard,Bank transfer,Yes,TV Shows,No,Mobile,36.36218245,10.11011904,2,Action,2.149969832,3,Female,8,Yes,Yes,0
46,7.205252006,331.4415923,Premium,Credit card,No,Both,No,TV,23.20298249,138.3765073,33,Action,4.771497154,3,Female,16,No,Yes,0
118,14.81586447,1748.272007,Premium,Mailed check,No,Both,No,Computer,32.52173502,57.85706603,49,Drama,3.334606626,9,Female,8,Yes,Yes,0
114,17.81100829,2030.454945,Standard,Mailed check,Yes,Both,No,Computer,14.53094958,33.19289886,33,Drama,3.20121602,9,Male,15,Yes,No,0
56,10.33257692,578.6243076,Standard,Credit card,Yes,Movies,Yes,TV,13.54939483,76.16439129,9,Action,1.159189464,8,Female,6,Yes,Yes,0
15,11.82863837,177.4295756,Standard,Mailed check,Yes,Both,No,TV,32.70430052,146.481767,5,Fantasy,1.021618428,2,Male,2,No,Yes,0
82,7.993843411,655.4951597,Premium,Mailed check,No,Movies,No,Mobile,28.55451679,72.88631472,41,Comedy,4.025189029,4,Female,9,No,Yes,0
31,15.39291793,477.1804557,Premium,Credit card,No,Both,No,Computer,12.94726525,97.50540164,42,Action,3.225655757,8,Female,8,Yes,Yes,0
113,8.030349717,907.429518,Standard,Electronic check,Yes,Movies,Yes,TV,19.88886807,47.91907739,42,Fantasy,4.968424301,7,Female,16,No,Yes,0
69,8.489379608,585.7671929,Premium,Mailed check,Yes,Movies,Yes,Tablet,22.58322086,162.4072772,46,Comedy,3.558571987,4,Male,18,No,No,0
33,16.74608639,552.6208508,Basic,Bank transfer,No,Movies,Yes,Tablet,4.827797236,40.61692571,27,Sci-Fi,2.474696799,4,Male,17,No,No,0
65,11.31491913,735.4697432,Basic,Credit card,Yes,TV Shows,Yes,TV,17.61423568,110.4315711,48,Fantasy,2.093026683,4,Male,21,No,Yes,0
50,13.74218184,687.109092,Standard,Bank transfer,No,Movies,No,Tablet,24.83228834,65.14434681,49,Drama,2.912835442,6,Male,4,Yes,Yes,0
1,10.22196037,10.22196037,Premium,Electronic check,Yes,Movies,Yes,TV,20.02280153,49.48175864,25,Fantasy,1.634816234,3,Male,17,Yes,No,0
5,16.72426314,83.62131571,Standard,Credit card,No,Both,Yes,Tablet,10.3956924,157.4659565,9,Drama,2.497179691,3,Female,8,Yes,No,1
13,12.92833032,168.0682941,Basic,Bank transfer,No,TV Shows,Yes,Mobile,20.82255199,143.4989901,21,Action,4.097508612,0,Female,21,No,Yes,0
84,19.92382161,1673.601015,Premium,Credit card,Yes,Both,Yes,Computer,9.651745656,31.88629927,47,Fantasy,2.742582234,8,Female,23,Yes,No,0
103,10.12502286,1042.877354,Basic,Bank transfer,Yes,TV Shows,Yes,Tablet,27.54738974,179.9808058,7,Sci-Fi,1.078553529,1,Male,19,Yes,Yes,0
102,8.661170133,883.4393536,Standard,Bank transfer,Yes,TV Shows,Yes,Computer,10.69248372,119.3385568,15,Fantasy,4.993076177,3,Female,6,No,Yes,0
1,14.70712498,14.70712498,Basic,Mailed check,Yes,Movies,Yes,Tablet,28.22819937,99.35875074,48,Fantasy,3.847543276,8,Female,19,No,No,0
61,8.292790229,505.860204,Standard,Mailed check,Yes,TV Shows,Yes,Mobile,36.14786129,128.7715057,49,Sci-Fi,2.129307482,2,Female,11,Yes,Yes,0
93,7.94194684,738.6010562,Basic,Mailed check,Yes,Movies,No,Tablet,8.659058297,143.4015078,2,Sci-Fi,1.584321981,7,Male,6,Yes,Yes,1
48,10.18878438,489.0616503,Basic,Mailed check,No,Both,No,TV,20.56994927,77.7287317,22,Comedy,4.160746157,4,Female,4,Yes,No,0
21,11.31488992,237.6126884,Basic,Credit card,No,TV Shows,No,TV,6.727874246,26.01625457,17,Sci-Fi,4.630666897,8,Male,9,No,No,0
47,17.63042935,828.6301795,Standard,Electronic check,No,Both,No,Mobile,10.36221146,55.15365963,8,Fantasy,1.547173912,2,Male,23,Yes,No,1
9,17.93502773,161.4152495,Premium,Bank transfer,No,TV Shows,Yes,Tablet,18.97329431,102.3997684,39,Fantasy,3.488432036,2,Male,3,No,Yes,0
99,8.749436029,866.1941668,Premium,Bank transfer,No,Movies,Yes,Mobile,39.96012097,152.8917892,46,Comedy,2.43730016,9,Male,13,Yes,No,0
109,16.50147839,1798.661145,Premium,Bank transfer,No,Movies,No,Mobile,21.82455015,60.7488799,9,Sci-Fi,3.845891593,1,Male,4,No,Yes,1
98,14.83812322,1454.136075,Basic,Mailed check,Yes,TV Shows,Yes,Mobile,4.616734133,167.3682733,48,Sci-Fi,2.587321222,9,Female,1,No,Yes,0
58,16.40840575,951.6875332,Premium,Bank transfer,No,TV Shows,Yes,Computer,6.31757625,148.9236903,31,Sci-Fi,2.683173693,1,Male,8,No,No,0
58,15.1682623,879.7592136,Premium,Mailed check,Yes,Movies,No,Mobile,17.19696296,18.9776191,8,Sci-Fi,4.681185766,1,Female,21,No,No,1
61,18.46417726,1126.314813,Basic,Electronic check,No,TV Shows,No,Computer,8.915841426,123.8579259,32,Action,3.327858869,1,Female,2,Yes,Yes,0
92,8.987253906,826.8273594,Standard,Mailed check,Yes,TV Shows,Yes,TV,2.240230227,43.23911295,31,Action,2.704153652,0,Male,15,Yes,Yes,0
49,16.11228834,789.5021285,Premium,Credit card,No,TV Shows,Yes,Computer,4.813260493,14.39511803,2,Drama,1.333827048,3,Female,21,No,No,0
56,8.98569293,503.1988041,Premium,Mailed check,Yes,Movies,No,Computer,12.38698211,86.56218755,40,Comedy,4.322244235,3,Male,4,Yes,No,0
87,17.24566289,1500.372671,Basic,Electronic check,No,Both,No,TV,12.6253807,143.3836336,43,Comedy,4.907321072,9,Male,0,Yes,No,0
51,15.10762981,770.4891202,Standard,Bank transfer,Yes,Both,Yes,TV,10.70398716,159.2202378,37,Drama,3.763734322,9,Male,15,No,Yes,0
113,6.29131424,710.9185091,Premium,Credit card,No,TV Shows,No,Computer,34.15349449,125.5877419,49,Comedy,2.72273583,9,Male,2,Yes,Yes,0
27,6.929484492,187.0960813,Standard,Credit card,No,Movies,Yes,TV,5.380838775,13.91139031,41,Comedy,1.560422668,5,Male,17,Yes,No,1
