accountage,monthlycharges,totalcharges,subscriptiontype,paymentmethod,paperlessbilling,contenttype,multideviceaccess,deviceregistered,viewinghoursperweek,averageviewingduration,contentdownloadspermonth,genrepreference,userrating,supportticketspermonth,gender,watchlistsize,parentalcontrol,subtitlesenabled
59,12.35764581,729.1011029,Basic,Bank transfer,Yes,Movies,No,Computer,16.19051463,43.6570287,0,Drama,1.036806992,8,Female,4,Yes,No
7,9.008244715,63.057713,Premium,Electronic check,No,Both,No,Tablet,17.51549636,161.8572795,45,Drama,4.33536984,7,Female,6,No,Yes
34,16.43759133,558.8781053,Basic,Bank transfer,No,Movies,Yes,Computer,31.13453188,103.4190314,32,Sci-Fi,3.627385669,7,Female,21,No,Yes
109,10.97500043,1196.275047,Basic,Electronic check,No,TV Shows,Yes,Mobile,28.54058832,129.325893,45,Comedy,2.231714991,1,Male,8,No,No
28,15.8241853,443.0771883,Premium,Bank transfer,No,Both,No,Mobile,31.31172993,115.2608219,13,Comedy,4.800049547,2,Female,18,Yes,No
63,5.000400555,315.0252349,Basic,Bank transfer,Yes,Movies,Yes,TV,23.00356009,7.082872985,36,Comedy,3.042862126,5,Female,24,No,No
59,11.199791,660.7876691,Standard,Mailed check,No,TV Shows,Yes,Tablet,35.30302156,165.0077387,34,Fantasy,3.620179022,7,Female,9,No,Yes
82,15.63568217,1282.125938,Standard,Mailed check,No,Both,No,Tablet,8.790302173,96.63272417,1,Comedy,2.864802038,8,Female,9,No,Yes
93,9.011970166,838.1132254,Standard,Electronic check,No,TV Shows,No,Mobile,14.37906251,10.14973145,46,Comedy,3.08658662,8,Male,24,No,Yes
33,6.081778692,200.6986968,Standard,Mailed check,No,Both,No,Mobile,6.503873331,98.516421,37,Comedy,2.195886388,2,Male,24,No,No
81,7.935031622,642.7375614,Basic,Credit card,No,TV Shows,No,Computer,28.46233493,118.2937704,0,Comedy,1.301289185,0,Female,20,Yes,Yes
78,13.97456724,1090.016245,Premium,Mailed check,No,Both,Yes,TV,23.86570055,135.7974895,22,Fantasy,1.027697493,0,Female,3,No,No
44,11.76862009,517.8192839,Standard,Bank transfer,No,Both,Yes,Computer,36.96062156,119.4062339,47,Drama,3.977531706,1,Male,19,Yes,Yes
112,18.69657054,2094.015901,Basic,Mailed check,Yes,TV Shows,Yes,Computer,32.63036594,33.79188702,15,Drama,2.034597798,2,Female,24,No,Yes
35,16.87873972,590.7558903,Premium,Electronic check,Yes,Both,Yes,TV,12.22037322,67.73281231,4,Sci-Fi,3.409906214,3,Male,15,No,No
114,5.129663425,584.7816305,Premium,Mailed check,No,TV Shows,Yes,TV,32.39845175,52.30636345,45,Sci-Fi,4.458600711,8,Male,15,Yes,Yes
25,16.324668,408.1166999,Standard,Bank transfer,No,Both,No,Computer,19.94321545,155.7044155,0,Sci-Fi,1.333320518,5,Male,20,Yes,Yes
32,18.47489648,591.1966873,Standard,Mailed check,No,TV Shows,Yes,TV,14.16326344,128.847593,42,Sci-Fi,3.534906844,0,Female,9,Yes,No
72,7.321291579,527.1329937,Premium,Credit card,No,Movies,No,Tablet,36.22453126,61.33764612,17,Fantasy,1.869196384,3,Female,18,No,No
14,14.20604559,198.8846383,Standard,Bank transfer,No,Both,Yes,Tablet,21.31352555,164.0493573,27,Sci-Fi,4.859067358,4,Male,16,No,Yes
35,11.26431184,394.2509146,Standard,Mailed check,No,TV Shows,Yes,Mobile,17.18379063,47.98875286,32,Sci-Fi,2.932680786,7,Male,1,Yes,Yes
77,11.53039569,887.8404684,Basic,Electronic check,No,Both,Yes,Mobile,8.878951386,33.18848478,40,Comedy,4.911675983,3,Female,16,No,Yes
110,9.932861714,1092.614789,Premium,Electronic check,Yes,Both,Yes,Mobile,10.99632186,129.2519969,12,Comedy,1.676090082,4,Male,14,No,No
89,16.99789507,1512.812662,Basic,Bank transfer,No,Both,No,Mobile,29.29148305,149.1041141,22,Sci-Fi,4.82001581,4,Female,19,No,Yes
7,13.09656544,91.6759581,Standard,Mailed check,Yes,Both,No,Computer,9.432581849,75.10723517,44,Sci-Fi,4.97441597,9,Female,3,No,Yes
9,13.04257563,117.3831807,Standard,Mailed check,No,Both,Yes,Tablet,20.54167668,26.52892071,37,Comedy,1.474631174,2,Female,19,Yes,Yes
33,12.32806985,406.8263052,Standard,Electronic check,No,TV Shows,Yes,Computer,25.72117374,162.8058623,30,Fantasy,4.668318522,8,Female,21,Yes,Yes
61,7.603230341,463.7970508,Standard,Credit card,Yes,Both,No,Mobile,2.152170813,69.4550392,6,Sci-Fi,4.478160582,7,Male,9,No,Yes
99,18.4311955,1824.688355,Basic,Credit card,Yes,Both,No,TV,4.030480156,173.4167358,13,Fantasy,3.258460481,2,Male,11,No,No
19,10.91282661,207.3437056,Premium,Mailed check,Yes,Movies,No,Tablet,25.46862375,100.82591,16,Fantasy,4.459271584,9,Female,10,No,Yes
40,7.115077869,284.6031148,Premium,Credit card,Yes,Movies,No,Computer,6.328824552,129.9616856,7,Fantasy,3.17964718,7,Female,7,Yes,Yes
116,13.53121561,1569.62101,Standard,Electronic check,Yes,TV Shows,No,Mobile,36.22070568,37.25263895,28,Comedy,3.785568097,9,Male,3,Yes,Yes
97,17.14935235,1663.487178,Premium,Mailed check,No,Both,Yes,TV,28.31943283,170.5921516,10,Sci-Fi,1.904047097,5,Female,14,No,No
53,18.76377076,994.4798502,Premium,Bank transfer,Yes,Movies,Yes,Mobile,13.63078589,86.04542223,49,Fantasy,4.768515815,4,Female,18,No,Yes
94,14.50164672,1363.154791,Standard,Bank transfer,No,Movies,Yes,Mobile,15.45061399,47.3954182,43,Action,2.625164831,4,Female,9,Yes,Yes
98,15.41599685,1510.767692,Standard,Bank transfer,No,Movies,Yes,Tablet,10.95805903,20.98130228,46,Sci-Fi,3.941886479,4,Male,9,Yes,Yes
21,10.61173788,222.8464954,Standard,Bank transfer,No,Both,No,Computer,38.88906547,81.30488627,48,Fantasy,3.403254862,7,Female,17,No,Yes
39,17.45193845,680.6255996,Premium,Electronic check,No,TV Shows,No,Tablet,25.2667563,175.8262965,1,Action,3.365339379,0,Male,14,Yes,Yes
8,6.811596253,54.49277003,Premium,Bank transfer,No,Both,No,TV,39.71510563,66.0504994,12,Comedy,4.853376596,3,Female,18,Yes,Yes
57,11.975442,682.600194,Premium,Mailed check,No,TV Shows,No,Mobile,35.08669097,149.7289775,14,Fantasy,3.458083714,1,Female,17,Yes,Yes
7,19.38643224,135.7050257,Standard,Credit card,No,TV Shows,Yes,Computer,25.0450843,101.0866259,40,Drama,1.369581103,3,Female,5,No,Yes
102,8.915409155,909.3717338,Standard,Mailed check,No,TV Shows,Yes,Mobile,4.406407169,71.67445068,31,Fantasy,2.859315764,2,Female,1,Yes,Yes
62,13.81091006,856.2764237,Basic,Mailed check,No,Movies,No,Mobile,33.74339758,62.43612061,46,Fantasy,2.147826857,2,Female,4,Yes,Yes
81,8.811286453,713.7142027,Basic,Electronic check,No,TV Shows,No,TV,35.32911257,62.73797938,8,Drama,3.478249511,2,Female,16,No,No
82,8.199920114,672.3934494,Basic,Electronic check,Yes,TV Shows,Yes,Computer,21.33921308,78.29462784,7,Comedy,3.244050384,2,Female,8,Yes,No
70,9.919337022,694.3535916,Premium,Electronic check,Yes,TV Shows,No,Mobile,39.0094548,45.38225136,10,Comedy,4.72467477,1,Female,2,No,No
22,18.19486119,400.2869463,Premium,Bank transfer,Yes,Both,Yes,TV,7.178278787,116.6457353,36,Sci-Fi,2.204076386,1,Female,14,No,No
88,5.809664363,511.250464,Premium,Electronic check,No,TV Shows,No,Tablet,5.765656699,94.16443982,45,Action,3.725206058,0,Male,19,Yes,Yes
66,14.01344843,924.8875961,Premium,Electronic check,No,Both,No,TV,28.67120761,45.4874634,38,Fantasy,4.584533811,0,Female,18,No,Yes
76,14.68083252,1115.743272,Premium,Electronic check,No,TV Shows,Yes,TV,15.28197089,166.6829819,23,Comedy,2.544086106,0,Female,10,Yes,Yes
8,13.89421417,111.1537133,Basic,Credit card,No,TV Shows,No,Mobile,18.91447313,8.868268415,17,Comedy,4.354824882,0,Female,13,Yes,No
100,18.73386625,1873.386625,Premium,Mailed check,No,Movies,Yes,Tablet,22.33145488,144.8900094,32,Action,4.401083056,5,Male,4,No,No
40,10.56489663,422.5958653,Basic,Electronic check,No,Movies,Yes,Computer,11.58027776,18.29608283,45,Drama,2.210791213,2,Female,20,Yes,Yes
26,15.85109892,412.1285719,Basic,Bank transfer,Yes,Movies,No,TV,23.22143743,175.8227888,0,Comedy,2.996552434,0,Male,1,Yes,Yes
74,19.97757475,1478.340532,Premium,Bank transfer,Yes,TV Shows,Yes,Mobile,12.57748912,11.86168626,5,Sci-Fi,3.516370151,2,Female,4,Yes,No
77,17.15727246,1321.10998,Premium,Electronic check,No,Both,Yes,Tablet,25.52331957,119.5131064,21,Sci-Fi,1.547625937,7,Male,20,Yes,No
76,18.2693264,1388.468807,Basic,Bank transfer,No,TV Shows,Yes,TV,14.3362397,73.90913796,40,Sci-Fi,2.513956848,2,Male,18,No,No
88,16.03020961,1410.658446,Standard,Electronic check,Yes,Movies,No,TV,19.34476357,67.07414255,46,Fantasy,1.482834068,5,Male,0,Yes,No
26,11.91619342,309.8210288,Standard,Credit card,No,Both,Yes,Mobile,27.42228889,90.75431804,48,Drama,2.785472218,6,Female,5,No,Yes
38,5.240553134,199.1410191,Basic,Bank transfer,No,Movies,Yes,Computer,30.29374561,145.4500125,17,Sci-Fi,4.700969864,6,Male,8,Yes,No
77,8.583983398,660.9667217,Standard,Mailed check,No,Both,Yes,Tablet,2.839964324,113.1533554,37,Drama,4.204497514,0,Female,0,No,Yes
95,14.62265561,1389.152283,Basic,Electronic check,No,Both,Yes,Tablet,24.6429861,159.8820681,19,Action,2.345290414,1,Male,13,Yes,No
35,11.57936204,405.2776713,Standard,Bank transfer,No,Movies,Yes,Mobile,5.772896726,163.0612707,46,Action,1.145833755,0,Male,7,No,No
36,16.67156213,600.1762365,Premium,Mailed check,No,Movies,Yes,Tablet,2.90106167,95.05431536,30,Sci-Fi,3.844948527,3,Male,6,Yes,Yes
69,13.81556641,953.2740823,Standard,Mailed check,Yes,Both,Yes,TV,32.74047896,134.100463,30,Sci-Fi,4.581401977,8,Male,15,No,Yes
52,9.654612459,502.0398479,Premium,Bank transfer,No,Movies,No,Computer,13.36794798,50.38082178,3,Action,4.956803513,6,Male,19,No,Yes
30,14.59925323,437.977597,Standard,Bank transfer,No,TV Shows,Yes,Mobile,20.27889559,178.2615328,20,Fantasy,3.227459291,4,Male,16,Yes,Yes
107,17.61537089,1884.844686,Basic,Bank transfer,No,Movies,No,Computer,22.21379883,10.93129945,32,Comedy,4.19353868,8,Female,21,Yes,Yes
31,7.802186444,241.8677798,Premium,Bank transfer,No,Movies,No,Tablet,10.67508241,112.1167251,19,Sci-Fi,1.712407854,8,Male,23,Yes,No
69,17.55891064,1211.564834,Premium,Credit card,No,TV Shows,Yes,Computer,2.622213134,46.02179909,25,Drama,4.713043654,1,Male,15,Yes,No
7,11.64050161,81.48351124,Premium,Credit card,Yes,Movies,No,TV,27.6580384,106.729777,41,Drama,2.16247261,8,Female,13,Yes,No
97,6.560308887,636.3499621,Premium,Credit card,Yes,Both,Yes,TV,31.5106522,56.17361188,19,Fantasy,4.199486993,4,Male,3,Yes,Yes
25,11.24648341,281.1620853,Standard,Bank transfer,No,Movies,No,TV,18.46412046,48.73376141,25,Drama,1.53444031,6,Male,3,No,No
51,16.56031549,844.5760898,Basic,Credit card,Yes,Movies,No,Tablet,35.39419196,29.6578539,24,Sci-Fi,4.043310351,0,Male,5,Yes,Yes
98,7.167534109,702.4183427,Standard,Credit card,Yes,TV Shows,No,TV,33.42535575,119.4815743,49,Comedy,3.78671872,2,Male,1,No,Yes
114,7.639902939,870.9489351,Basic,Electronic check,Yes,Movies,Yes,Mobile,35.94179383,80.3678332,27,Comedy,3.588939514,2,Female,18,No,Yes
28,12.8007953,358.4222683,Basic,Electronic check,Yes,Both,No,TV,22.71617896,161.8668931,32,Fantasy,1.212366608,4,Male,16,No,Yes
39,16.96865992,661.777737,Basic,Electronic check,Yes,Both,No,Computer,9.100638464,176.7375943,0,Action,4.411943563,3,Male,22,No,No
9,8.614210626,77.52789563,Standard,Bank transfer,No,Both,Yes,Tablet,5.504380112,145.7620989,16,Fantasy,2.256317463,5,Female,3,Yes,No
13,14.58552369,189.611808,Premium,Mailed check,No,TV Shows,Yes,Mobile,22.34895845,64.89124372,8,Sci-Fi,4.962233467,8,Female,15,No,No
101,7.185748518,725.7606003,Standard,Mailed check,Yes,Both,Yes,Computer,15.03123071,67.8731018,4,Sci-Fi,4.458858478,7,Female,11,No,Yes
112,15.74711717,1763.677124,Premium,Mailed check,No,Both,No,Tablet,4.688291314,5.807534378,40,Action,4.128238174,4,Male,12,No,Yes
44,11.95112338,525.8494285,Standard,Electronic check,No,Movies,Yes,Mobile,7.525452455,86.17448022,11,Comedy,2.852452968,3,Female,9,No,No
6,14.82250039,88.93500235,Basic,Mailed check,No,TV Shows,No,Computer,6.757849618,73.58678154,19,Sci-Fi,4.619386449,0,Male,11,Yes,No
114,18.99805839,2165.778657,Premium,Bank transfer,Yes,Both,No,Tablet,36.57019096,23.39437529,23,Fantasy,2.388902915,7,Male,18,No,No
106,15.68841089,1662.971554,Standard,Bank transfer,Yes,Movies,Yes,Tablet,8.50228306,164.6147223,27,Comedy,4.409029334,8,Male,20,Yes,No
35,19.19711849,671.8991471,Premium,Credit card,Yes,Both,Yes,Tablet,20.03387273,146.4428025,25,Sci-Fi,2.50190197,0,Female,18,No,Yes
24,5.161881958,123.885167,Basic,Credit card,No,Movies,No,Tablet,9.327852531,45.71125734,7,Action,3.435501524,9,Female,13,No,Yes
45,17.32997628,779.8489324,Premium,Credit card,No,TV Shows,Yes,Mobile,8.346768298,169.0493124,11,Sci-Fi,4.816177704,8,Male,13,No,Yes
59,9.10010976,536.9064758,Basic,Electronic check,Yes,Both,Yes,Mobile,27.21396565,92.85319822,14,Action,3.09184336,3,Female,6,No,Yes
17,15.19824399,258.3701478,Premium,Credit card,Yes,Both,No,Computer,8.284788654,98.48119367,24,Action,1.36344192,1,Female,20,No,No
51,11.18187883,570.2758204,Premium,Electronic check,Yes,Movies,No,Computer,35.9164645,16.44810754,40,Drama,1.441317988,6,Male,12,Yes,No
52,6.318432704,328.5585006,Standard,Electronic check,Yes,TV Shows,Yes,TV,31.44480876,48.92639374,21,Action,2.060571752,3,Female,2,No,No
65,19.147172,1244.56618,Standard,Credit card,Yes,Movies,No,Mobile,12.12146673,77.82471984,32,Sci-Fi,2.855142098,9,Male,10,No,Yes
105,14.77033151,1550.884809,Standard,Electronic check,No,Movies,No,TV,22.18689103,113.6952686,44,Fantasy,4.781657656,5,Female,12,Yes,No
49,17.35000044,850.1500216,Basic,Electronic check,No,TV Shows,No,Mobile,30.67365883,13.1872148,5,Action,2.630075127,7,Female,13,No,Yes
32,8.453875719,270.524023,Basic,Credit card,No,Both,Yes,TV,6.214664079,162.4993548,10,Fantasy,2.089811297,3,Male,20,No,No
20,8.956366459,179.1273292,Standard,Credit card,Yes,Movies,Yes,Tablet,33.73387481,164.8716341,16,Comedy,1.63008597,2,Female,11,Yes,No
95,5.413525024,514.2848773,Basic,Bank transfer,Yes,Both,Yes,Mobile,12.33431692,11.53896342,30,Fantasy,2.533497142,4,Male,24,No,No
106,10.58866338,1122.398318,Standard,Credit card,No,Movies,Yes,Computer,39.76920485,117.2308028,25,Fantasy,2.947555981,2,Female,22,No,Yes
87,19.65950753,1710.377155,Standard,Credit card,No,Both,Yes,Computer,2.059403818,160.8950339,15,Drama,4.587147791,7,Female,14,No,Yes
20,11.50101434,230.0202868,Standard,Credit card,Yes,Movies,No,Mobile,13.70685373,143.6150526,15,Drama,2.819500407,6,Male,4,No,Yes
11,8.507058315,93.57764147,Basic,Credit card,Yes,Both,No,Tablet,30.1491897,53.11943651,31,Comedy,4.259055521,1,Female,15,Yes,No
14,19.66243056,275.2740278,Basic,Electronic check,No,TV Shows,No,Computer,8.060384846,32.2373886,44,Action,3.56263948,9,Female,15,Yes,No
3,8.022685444,24.06805633,Basic,Electronic check,No,Both,No,Computer,32.51955409,5.033618637,28,Drama,4.00471077,5,Male,17,No,Yes
44,11.53742588,507.6467387,Basic,Bank transfer,Yes,Movies,No,TV,15.47590422,44.26680349,22,Drama,4.585283411,2,Female,6,No,No
78,8.489602237,662.1889745,Premium,Mailed check,No,Both,No,Tablet,25.37534889,128.3632729,22,Fantasy,3.117884523,8,Male,19,Yes,Yes
13,9.506830625,123.5887981,Standard,Mailed check,Yes,Movies,Yes,Computer,20.60662385,126.0172996,30,Fantasy,1.971760594,8,Female,24,No,No
91,18.65237186,1697.365839,Premium,Electronic check,No,TV Shows,No,Tablet,28.02420458,140.7951537,20,Fantasy,1.915656919,3,Female,6,No,Yes
106,18.45268791,1955.984919,Basic,Mailed check,No,TV Shows,No,Computer,27.95409553,144.9540145,44,Sci-Fi,4.693552974,2,Male,17,No,Yes
79,19.39813768,1532.452876,Premium,Credit card,No,Both,No,Computer,35.26288947,111.3408037,20,Comedy,2.710450935,2,Female,1,Yes,Yes
55,7.064420088,388.5431048,Basic,Credit card,Yes,Both,Yes,Computer,33.55343176,13.34705482,6,Drama,3.858367313,7,Female,6,Yes,Yes
81,6.937698726,561.9535968,Basic,Mailed check,Yes,Movies,Yes,Computer,2.917352794,119.1781083,32,Action,3.665704439,0,Female,6,No,Yes
1,5.252283198,5.252283198,Basic,Mailed check,Yes,TV Shows,Yes,TV,18.94438291,81.65407543,24,Drama,3.495224535,4,Female,15,No,Yes
119,19.25788758,2291.688622,Standard,Mailed check,No,TV Shows,No,TV,32.03834849,102.9075454,30,Comedy,2.00672454,6,Female,2,Yes,Yes
103,17.73981032,1827.200463,Standard,Mailed check,Yes,TV Shows,No,TV,4.835468452,101.6227065,14,Fantasy,3.662559045,7,Female,3,Yes,No
15,7.689729713,115.3459457,Premium,Mailed check,Yes,Movies,No,TV,9.189591354,97.52467188,3,Comedy,2.418435562,8,Female,13,No,No
68,12.01161016,816.7894906,Premium,Bank transfer,No,Both,No,TV,4.542631319,39.25605705,36,Fantasy,3.788408841,5,Female,13,Yes,No
17,5.057202899,85.97244928,Premium,Bank transfer,No,Both,Yes,Tablet,1.864795909,68.10326693,48,Fantasy,3.811274202,8,Male,7,Yes,No
24,17.90795728,429.7909747,Premium,Bank transfer,Yes,TV Shows,Yes,TV,23.65070046,159.7708366,49,Fantasy,2.722246759,3,Female,7,Yes,No
69,5.085754163,350.9170373,Basic,Electronic check,Yes,Both,No,Computer,34.54821981,25.75022731,3,Fantasy,2.946596337,9,Female,18,No,Yes
66,19.96736153,1317.845861,Premium,Electronic check,Yes,Movies,No,Tablet,8.940760047,112.9930058,0,Fantasy,1.712268762,6,Female,23,No,Yes
78,18.69127885,1457.91975,Premium,Electronic check,No,Both,No,Mobile,24.10268905,22.32368378,30,Drama,1.026982904,5,Female,1,No,No
1,11.02089743,11.02089743,Standard,Electronic check,No,Movies,Yes,TV,20.0252745,39.35396105,48,Drama,1.830067267,2,Female,19,No,No
115,7.259798609,834.87684,Basic,Electronic check,Yes,Movies,No,TV,2.621951803,179.7075447,30,Sci-Fi,3.867770386,3,Male,6,No,No
60,6.530715938,391.8429563,Premium,Bank transfer,Yes,TV Shows,No,Computer,34.4736777,73.14254624,28,Action,4.257634706,7,Male,13,No,Yes
98,12.89985313,1264.185606,Basic,Mailed check,No,Both,Yes,Tablet,21.61744026,13.24414864,14,Fantasy,3.09316929,1,Female,10,Yes,Yes
40,19.07545504,763.0182016,Premium,Electronic check,Yes,Both,Yes,TV,7.759656765,43.09871289,26,Comedy,1.213153344,2,Female,11,Yes,Yes
11,9.568120273,105.249323,Basic,Electronic check,No,Movies,No,Computer,5.719862615,155.7360752,5,Sci-Fi,3.390625438,6,Male,16,Yes,No
33,12.2001398,402.6046135,Basic,Mailed check,No,Movies,No,Mobile,4.876731639,83.55535949,6,Action,3.597177045,1,Male,9,Yes,No
72,10.5896904,762.4577091,Standard,Mailed check,No,Movies,No,TV,4.413879378,136.053223,4,Drama,2.023104284,3,Female,23,No,No
85,16.65253087,1415.465124,Premium,Electronic check,No,TV Shows,Yes,TV,3.076350197,36.61487613,14,Comedy,1.945943611,6,Male,8,No,Yes
104,5.125902403,533.0938499,Premium,Credit card,No,Movies,No,Tablet,16.95757349,142.1471463,37,Comedy,4.503592733,4,Female,12,No,Yes
20,13.76946154,275.3892308,Premium,Credit card,No,Both,Yes,Mobile,25.68720009,144.4371356,3,Drama,4.927540971,1,Female,12,No,No
77,6.867133596,528.7692869,Standard,Mailed check,Yes,Movies,No,Tablet,27.87379739,9.73416444,20,Drama,4.20741357,4,Female,2,Yes,Yes
8,11.00646269,88.05170153,Premium,Mailed check,Yes,TV Shows,Yes,Tablet,21.28748715,25.38229834,47,Drama,2.313738834,8,Female,2,Yes,No
39,10.78885686,420.7654175,Premium,Electronic check,No,TV Shows,Yes,TV,25.01062824,102.6865859,29,Fantasy,1.932721082,3,Male,13,Yes,No
62,18.00264126,1116.163758,Premium,Electronic check,Yes,Movies,No,Tablet,9.472887928,41.65454007,48,Drama,1.686031022,6,Male,18,No,No
119,7.939933258,944.8520577,Standard,Credit card,No,Both,No,Tablet,29.58883674,41.44516837,44,Comedy,4.204473753,7,Female,15,No,No
66,5.848634637,386.0098861,Standard,Electronic check,No,Movies,No,Computer,19.88749356,40.14158771,46,Sci-Fi,2.251053272,0,Female,3,Yes,Yes
46,12.66855229,582.7534054,Premium,Mailed check,No,Movies,Yes,Tablet,5.468802841,167.2887192,47,Sci-Fi,4.270695048,3,Male,8,No,Yes
84,14.17948492,1191.076733,Basic,Mailed check,No,Movies,No,TV,29.97360339,11.20347446,16,Drama,2.158361836,9,Female,18,No,No
95,10.42404439,990.2842166,Standard,Bank transfer,No,Both,No,Computer,20.66575939,10.6351045,2,Sci-Fi,3.071167964,2,Female,21,No,Yes
107,6.210482662,664.5216449,Standard,Mailed check,Yes,Movies,Yes,Mobile,20.46321487,58.75756225,29,Sci-Fi,4.494503013,1,Female,1,No,No
77,15.4684465,1191.070381,Premium,Credit card,Yes,TV Shows,Yes,Tablet,17.49062496,36.85726107,14,Drama,3.876849014,5,Female,19,No,Yes
52,19.6390137,1021.228712,Standard,Mailed check,No,Movies,No,Tablet,32.16758041,173.0518533,48,Action,1.843611943,0,Female,23,Yes,No
116,19.76062383,2292.232364,Standard,Electronic check,No,Movies,Yes,TV,35.73916839,151.6730719,33,Sci-Fi,4.03063984,6,Male,17,Yes,Yes
36,6.942922592,249.9452133,Premium,Electronic check,Yes,TV Shows,No,TV,29.82978981,159.6049257,1,Sci-Fi,3.341169542,2,Female,23,Yes,Yes
69,19.85761585,1370.175493,Premium,Credit card,Yes,Movies,No,TV,21.29933626,111.0923406,2,Drama,1.794224399,5,Female,4,Yes,Yes
23,6.426464052,147.8086732,Premium,Electronic check,No,TV Shows,Yes,TV,20.29169717,17.59988559,15,Action,1.683684435,3,Female,18,No,Yes
35,9.284115558,324.9440445,Standard,Mailed check,Yes,Both,No,Computer,31.07472498,46.023944,2,Fantasy,2.064166768,8,Male,13,Yes,Yes
18,7.195885777,129.525944,Premium,Mailed check,Yes,Both,Yes,Mobile,10.5120374,12.85172984,1,Fantasy,4.494803369,6,Male,13,No,No
74,11.06426013,818.7552494,Premium,Credit card,Yes,TV Shows,Yes,Tablet,21.52585213,177.352943,6,Sci-Fi,3.980992272,6,Female,6,No,No
39,15.69346527,612.0451456,Standard,Electronic check,Yes,Both,Yes,Mobile,36.87670206,134.2846542,38,Sci-Fi,2.425711646,0,Female,23,Yes,No
6,13.67681216,82.06087296,Premium,Mailed check,No,Both,No,TV,5.684043692,66.46585096,38,Sci-Fi,4.648170023,8,Female,0,No,Yes
26,19.0239434,494.6225283,Standard,Mailed check,Yes,TV Shows,Yes,Tablet,36.56057374,174.15815,31,Drama,2.155432566,6,Male,4,Yes,Yes
48,19.96764012,958.4467259,Standard,Bank transfer,Yes,TV Shows,Yes,TV,5.401632398,67.15499495,24,Drama,3.584002162,8,Female,18,Yes,Yes
57,8.120497026,462.8683305,Premium,Bank transfer,No,Both,No,Computer,15.29671854,143.1606317,7,Sci-Fi,1.096072631,0,Male,18,Yes,No
101,17.27625362,1744.901615,Premium,Mailed check,No,Both,No,Mobile,27.27329252,83.68052161,17,Action,4.958652559,9,Male,4,No,No
80,8.165349775,653.227982,Basic,Credit card,Yes,TV Shows,No,Computer,9.340372894,58.21471344,38,Action,4.732729377,7,Male,22,Yes,Yes
24,13.85589641,332.5415139,Basic,Electronic check,No,TV Shows,No,Computer,20.20091849,156.474973,19,Drama,2.084077299,7,Female,3,Yes,Yes
65,15.61998917,1015.299296,Premium,Mailed check,No,TV Shows,Yes,Computer,19.98805204,152.8473276,20,Comedy,3.05390272,1,Male,3,No,No
27,14.91532991,402.7139075,Basic,Bank transfer,No,Both,Yes,Mobile,11.94099713,76.24264905,19,Fantasy,4.638205717,5,Female,21,No,Yes
74,13.55278549,1002.906126,Premium,Bank transfer,No,TV Shows,Yes,Computer,12.68052824,131.6846611,38,Drama,1.219496325,9,Female,10,Yes,No
88,17.72397281,1559.709608,Standard,Mailed check,Yes,Movies,No,TV,25.3085753,51.39782369,9,Drama,3.485765697,7,Male,17,No,Yes
